id,name,labels
277,Node277,"B, E"
278,Node278,
279,Node279,"A, B, E, D"
280,Node280,"A, D"
281,Node281,"C, F"
282,Node282,
283,Node283,"A, B, E, D"
284,Node284,
285,Node285,
286,Node286,"A, D"
287,Node287,"A, D"
288,Node288,"B, E"
289,Node289,"C, B, E, F"
290,Node290,
291,Node291,"A, C, D, F"
292,Node292,"B, E"
293,Node293,"A, B, E, D"
294,Node294,
295,Node295,"A, D"
296,Node296,
297,Node297,"A, D"
298,Node298,"A, D"
299,Node299,"A, D"
300,Node300,"A, C, D, F"
301,Node301,
302,Node302,"C, F"
303,Node303,
304,Node304,
305,Node305,"B, E"
306,Node306,
307,Node307,
308,Node308,
309,Node309,"A, D"
310,Node310,"C, F"
311,Node311,
312,Node312,"C, F"
313,Node313,"C, B, E, F"
314,Node314,
315,Node315,"B, E"
316,Node316,"A, D"
317,Node317,
318,Node318,"A, D"
319,Node319,
320,Node320,"A, D"
321,Node321,
322,Node322,"A, D"
323,Node323,"A, D"
324,Node324,
325,Node325,"A, D"
326,Node326,"B, E"
327,Node327,"A, D"
328,Node328,"A, D"
329,Node329,
330,Node330,
331,Node331,"B, E"
332,Node332,"B, E"
333,Node333,"A, D"
334,Node334,
335,Node335,
336,Node336,"A, D"
337,Node337,"B, E"
338,Node338,"A, B, E, D"
339,Node339,"A, B, E, D"
340,Node340,"C, F"
341,Node341,"C, F"
342,Node342,
343,Node343,
344,Node344,
345,Node345,"C, B, E, F"
346,Node346,"A, D"
347,Node347,"B, E"
348,Node348,
349,Node349,"C, F"
350,Node350,"B, E"
351,Node351,
352,Node352,"A, C, D, F"
353,Node353,"B, E"
354,Node354,"A, D"
355,Node355,
356,Node356,
357,Node357,
358,Node358,"C, F"
359,Node359,
360,Node360,"A, C, D, F"
361,Node361,
362,Node362,"C, F"
363,Node363,"A, D"
364,Node364,"C, F"
365,Node365,"A, D"
366,Node366,
367,Node367,"B, E"
368,Node368,"B, E"
369,Node369,
370,Node370,"A, D"
371,Node371,
372,Node372,"B, E"
373,Node373,"B, E"
374,Node374,
375,Node375,
376,Node376,"B, E"
377,Node377,"A, D"
378,Node378,"C, F"
379,Node379,"A, D"
380,Node380,
381,Node381,"A, C, D, F"
382,Node382,"B, E"
383,Node383,
384,Node384,"A, C, D, F"
385,Node385,"A, D"
386,Node386,"C, B, E, F"
387,Node387,
388,Node388,"C, F"
389,Node389,"C, B, E, F"
390,Node390,
391,Node391,"A, D"
392,Node392,"A, B, E, D"
393,Node393,
394,Node394,
395,Node395,
396,Node396,
397,Node397,"B, E"
398,Node398,
399,Node399,
400,Node400,"A, C, B, E, D, F"
401,Node401,"C, F"
402,Node402,"C, F"
403,Node403,"A, D"
404,Node404,"A, D"
405,Node405,"A, D"
406,Node406,
407,Node407,
408,Node408,"A, D"
409,Node409,"A, C, D, F"
410,Node410,"C, F"
411,Node411,"C, F"
412,Node412,"C, F"
413,Node413,
414,Node414,"A, D"
415,Node415,"A, D"
416,Node416,"B, E"
417,Node417,
418,Node418,"A, B, E, D"
419,Node419,"B, E"
420,Node420,"B, E"
421,Node421,
422,Node422,"B, E"
423,Node423,
424,Node424,"C, F"
425,Node425,"A, D"
426,Node426,
427,Node427,"A, D"
428,Node428,"A, D"
429,Node429,"A, B, E, D"
430,Node430,"C, F"
431,Node431,
432,Node432,
433,Node433,"C, F"
434,Node434,
435,Node435,
436,Node436,
437,Node437,"A, D"
438,Node438,
439,Node439,"C, F"
440,Node440,
441,Node441,"C, F"
442,Node442,"C, B, E, F"
443,Node443,
444,Node444,"C, F"
445,Node445,"C, F"
446,Node446,"A, C, D, F"
447,Node447,"C, B, E, F"
448,Node448,"C, F"
449,Node449,"C, F"
450,Node450,"B, E"
451,Node451,
452,Node452,"A, B, E, D"
453,Node453,
454,Node454,
455,Node455,"C, B, E, F"
456,Node456,"B, E"
457,Node457,
458,Node458,"C, B, E, F"
459,Node459,
460,Node460,"C, F"
461,Node461,
462,Node462,"A, B, E, D"
463,Node463,"A, C, D, F"
464,Node464,"C, B, E, F"
465,Node465,
466,Node466,"C, F"
467,Node467,"A, D"
468,Node468,
469,Node469,"A, C, D, F"
470,Node470,
471,Node471,"C, F"
472,Node472,"C, F"
473,Node473,
474,Node474,"C, F"
475,Node475,
476,Node476,
477,Node477,
478,Node478,"A, C, B, E, D, F"
479,Node479,
480,Node480,"C, F"
481,Node481,
482,Node482,
483,Node483,"C, F"
484,Node484,"C, F"
485,Node485,"A, D"
486,Node486,
487,Node487,"B, E"
488,Node488,
489,Node489,
490,Node490,"B, E"
491,Node491,"B, E"
492,Node492,"C, F"
493,Node493,"B, E"
494,Node494,
495,Node495,"C, B, E, F"
496,Node496,"C, F"
497,Node497,
498,Node498,"A, C, D, F"
499,Node499,"C, B, E, F"
500,Node500,
501,Node501,
502,Node502,"C, F"
503,Node503,
504,Node504,"C, B, E, F"
505,Node505,"B, E"
506,Node506,
507,Node507,"C, F"
508,Node508,
509,Node509,
510,Node510,"A, D"
511,Node511,"A, D"
512,Node512,
513,Node513,
514,Node514,"A, D"
515,Node515,"C, F"
516,Node516,"A, D"
517,Node517,"A, B, E, D"
518,Node518,
519,Node519,"B, E"
520,Node520,"A, D"
521,Node521,
522,Node522,
523,Node523,"A, D"
524,Node524,
525,Node525,
526,Node526,"C, F"
527,Node527,"C, F"
528,Node528,"A, D"
529,Node529,
530,Node530,"B, E"
531,Node531,"A, D"
532,Node532,"A, B, E, D"
533,Node533,"A, C, D, F"
534,Node534,"C, F"
535,Node535,
536,Node536,"A, D"
537,Node537,"B, E"
538,Node538,"A, D"
539,Node539,
540,Node540,"A, D"
541,Node541,
542,Node542,"C, F"
543,Node543,"C, B, E, F"
544,Node544,"B, E"
545,Node545,
546,Node546,"A, D"
547,Node547,"C, F"
548,Node548,
549,Node549,"A, C, D, F"
550,Node550,"C, F"
551,Node551,"A, D"
552,Node552,
553,Node553,
554,Node554,"A, D"
555,Node555,"C, F"
556,Node556,
557,Node557,"C, F"
558,Node558,"B, E"
559,Node559,
560,Node560,"C, F"
561,Node561,"A, C, B, E, D, F"
562,Node562,
563,Node563,"A, C, D, F"
564,Node564,"B, E"
565,Node565,"C, B, E, F"
566,Node566,
567,Node567,"A, C, B, E, D, F"
568,Node568,
569,Node569,"C, F"
570,Node570,
571,Node571,"C, F"
572,Node572,
573,Node573,"C, F"
574,Node574,
575,Node575,"A, D"
576,Node576,
577,Node577,"B, E"
578,Node578,"A, B, E, D"
579,Node579,
580,Node580,
581,Node581,"A, D"
582,Node582,"C, F"
583,Node583,"A, D"
584,Node584,
585,Node585,
586,Node586,
587,Node587,
588,Node588,"B, E"
589,Node589,"A, C, D, F"
590,Node590,
591,Node591,
592,Node592,"C, F"
593,Node593,"B, E"
594,Node594,
595,Node595,
596,Node596,"C, F"
597,Node597,"A, C, D, F"
598,Node598,
599,Node599,"B, E"
600,Node600,"A, D"
601,Node601,
602,Node602,
603,Node603,"A, D"
604,Node604,"C, F"
605,Node605,"B, E"
606,Node606,"A, D"
607,Node607,
608,Node608,
609,Node609,
610,Node610,
611,Node611,
612,Node612,
613,Node613,"B, E"
614,Node614,
615,Node615,
616,Node616,"C, F"
617,Node617,
618,Node618,"C, B, E, F"
619,Node619,
620,Node620,"B, E"
621,Node621,"A, C, D, F"
622,Node622,"A, D"
623,Node623,
624,Node624,
625,Node625,
626,Node626,
627,Node627,
628,Node628,"C, F"
629,Node629,"B, E"
630,Node630,
631,Node631,
632,Node632,
633,Node633,"B, E"
634,Node634,
635,Node635,"A, C, D, F"
636,Node636,"B, E"
637,Node637,"B, E"
638,Node638,
639,Node639,
640,Node640,"A, D"
641,Node641,"C, F"
642,Node642,
643,Node643,"B, E"
644,Node644,"A, D"
645,Node645,"A, D"
646,Node646,"C, F"
647,Node647,
648,Node648,"B, E"
649,Node649,"B, E"
650,Node650,"B, E"
651,Node651,"C, F"
652,Node652,
653,Node653,"B, E"
654,Node654,"A, B, E, D"
655,Node655,"B, E"
656,Node656,"C, F"
657,Node657,"A, D"
658,Node658,"A, B, E, D"
659,Node659,"B, E"
660,Node660,
661,Node661,"B, E"
662,Node662,"A, D"
663,Node663,"B, E"
664,Node664,"C, F"
665,Node665,"A, C, D, F"
666,Node666,"A, B, E, D"
667,Node667,"A, D"
668,Node668,"C, F"
669,Node669,"C, F"
670,Node670,"A, B, E, D"
671,Node671,"B, E"
672,Node672,"C, F"
673,Node673,"C, F"
674,Node674,
675,Node675,"C, B, E, F"
676,Node676,
677,Node677,"B, E"
678,Node678,
679,Node679,"A, B, E, D"
680,Node680,
681,Node681,"B, E"
682,Node682,"A, D"
683,Node683,"B, E"
684,Node684,
685,Node685,
686,Node686,"C, F"
687,Node687,
688,Node688,"A, D"
689,Node689,
690,Node690,"A, D"
691,Node691,"A, C, B, E, D, F"
692,Node692,"B, E"
693,Node693,"B, E"
694,Node694,"B, E"
695,Node695,"A, D"
696,Node696,
697,Node697,
698,Node698,
699,Node699,"C, F"
700,Node700,
701,Node701,
702,Node702,"B, E"
703,Node703,"C, F"
704,Node704,"C, B, E, F"
705,Node705,
706,Node706,
707,Node707,"C, F"
708,Node708,"A, D"
709,Node709,"A, C, D, F"
710,Node710,
711,Node711,
712,Node712,
713,Node713,"A, C, D, F"
714,Node714,"A, C, D, F"
715,Node715,"C, F"
716,Node716,
717,Node717,
718,Node718,"C, F"
719,Node719,"C, F"
720,Node720,"C, F"
721,Node721,"C, B, E, F"
722,Node722,
723,Node723,
724,Node724,"C, F"
725,Node725,
726,Node726,
727,Node727,"C, F"
728,Node728,
729,Node729,
730,Node730,
731,Node731,"A, D"
732,Node732,"C, B, E, F"
733,Node733,"B, E"
734,Node734,
735,Node735,
736,Node736,
737,Node737,
738,Node738,
739,Node739,"C, F"
740,Node740,
741,Node741,
742,Node742,"A, C, D, F"
743,Node743,"A, D"
744,Node744,
745,Node745,"C, F"
746,Node746,
747,Node747,
748,Node748,"A, C, D, F"
749,Node749,
750,Node750,"A, D"
751,Node751,"C, F"
752,Node752,
753,Node753,"B, E"
754,Node754,"A, D"
755,Node755,"A, D"
756,Node756,"C, F"
757,Node757,"C, F"
758,Node758,"A, D"
759,Node759,"C, F"
760,Node760,"A, B, E, D"
761,Node761,"B, E"
762,Node762,"A, C, B, E, D, F"
763,Node763,
764,Node764,"C, F"
765,Node765,"C, F"
766,Node766,"A, B, E, D"
767,Node767,"B, E"
768,Node768,"B, E"
769,Node769,"A, C, B, E, D, F"
770,Node770,"A, C, D, F"
771,Node771,
772,Node772,
773,Node773,
774,Node774,"C, F"
775,Node775,"A, D"
776,Node776,"A, D"
777,Node777,
778,Node778,"A, C, B, E, D, F"
779,Node779,"B, E"
780,Node780,"C, F"
781,Node781,"C, F"
782,Node782,"A, D"
783,Node783,"C, B, E, F"
784,Node784,
785,Node785,"C, F"
786,Node786,
787,Node787,"B, E"
788,Node788,"C, F"
789,Node789,
790,Node790,"A, B, E, D"
791,Node791,"A, D"
792,Node792,
793,Node793,"C, F"
794,Node794,"B, E"
795,Node795,
796,Node796,
797,Node797,"B, E"
798,Node798,
799,Node799,"C, F"
800,Node800,
801,Node801,"A, B, E, D"
802,Node802,
803,Node803,"A, C, B, E, D, F"
804,Node804,
805,Node805,"C, F"
806,Node806,"A, B, E, D"
807,Node807,
808,Node808,"C, B, E, F"
809,Node809,
810,Node810,"A, C, D, F"
811,Node811,"B, E"
812,Node812,"A, D"
813,Node813,
814,Node814,
815,Node815,"A, D"
816,Node816,"A, B, E, D"
817,Node817,
818,Node818,"A, D"
819,Node819,"B, E"
820,Node820,"C, B, E, F"
821,Node821,
822,Node822,"A, D"
823,Node823,"C, B, E, F"
824,Node824,"A, D"
825,Node825,
826,Node826,
827,Node827,"C, F"
828,Node828,"C, F"
829,Node829,"C, F"
830,Node830,"A, C, B, E, D, F"
831,Node831,"C, F"
832,Node832,"B, E"
833,Node833,"C, F"
834,Node834,
835,Node835,"C, B, E, F"
836,Node836,
837,Node837,
838,Node838,
839,Node839,
840,Node840,"A, B, E, D"
841,Node841,
842,Node842,
843,Node843,
844,Node844,
845,Node845,"B, E"
846,Node846,
847,Node847,"B, E"
848,Node848,"A, D"
849,Node849,
850,Node850,
851,Node851,
852,Node852,
853,Node853,"A, D"
854,Node854,"B, E"
855,Node855,"A, D"
856,Node856,"A, D"
857,Node857,
858,Node858,"A, D"
859,Node859,"B, E"
860,Node860,"C, B, E, F"
861,Node861,"C, B, E, F"
862,Node862,"A, C, D, F"
863,Node863,"C, B, E, F"
864,Node864,
865,Node865,"A, C, D, F"
866,Node866,
867,Node867,
868,Node868,
869,Node869,
870,Node870,
871,Node871,
872,Node872,
873,Node873,"A, D"
874,Node874,
875,Node875,
876,Node876,
877,Node877,"C, B, E, F"
878,Node878,"B, E"
879,Node879,"A, C, D, F"
880,Node880,
881,Node881,"B, E"
882,Node882,"A, D"
883,Node883,
884,Node884,"A, C, B, E, D, F"
885,Node885,
886,Node886,
887,Node887,"C, F"
888,Node888,
889,Node889,"A, B, E, D"
890,Node890,
891,Node891,"B, E"
892,Node892,"A, B, E, D"
893,Node893,"A, D"
894,Node894,
895,Node895,
896,Node896,
897,Node897,
898,Node898,"B, E"
899,Node899,
900,Node900,
901,Node901,"C, F"
902,Node902,"B, E"
903,Node903,
904,Node904,
905,Node905,
906,Node906,"C, B, E, F"
907,Node907,"A, D"
908,Node908,
909,Node909,
910,Node910,
911,Node911,"B, E"
912,Node912,
913,Node913,"A, B, E, D"
914,Node914,"B, E"
915,Node915,"B, E"
916,Node916,
917,Node917,
918,Node918,
919,Node919,"A, D"
920,Node920,"A, D"
921,Node921,
922,Node922,"A, D"
923,Node923,
924,Node924,"A, B, E, D"
925,Node925,
926,Node926,"A, C, D, F"
927,Node927,"A, C, D, F"
928,Node928,"A, B, E, D"
929,Node929,"B, E"
930,Node930,
931,Node931,"A, D"
932,Node932,"A, C, D, F"
933,Node933,
934,Node934,
935,Node935,"A, B, E, D"
936,Node936,"A, D"
937,Node937,
938,Node938,"A, C, D, F"
939,Node939,
940,Node940,"A, B, E, D"
941,Node941,"A, D"
942,Node942,"C, F"
943,Node943,"A, C, D, F"
944,Node944,"A, B, E, D"
945,Node945,"B, E"
946,Node946,"A, D"
947,Node947,
948,Node948,"C, F"
949,Node949,"A, B, E, D"
950,Node950,"B, E"
951,Node951,"C, F"
952,Node952,"C, F"
953,Node953,"C, F"
954,Node954,"C, B, E, F"
955,Node955,"C, F"
956,Node956,"C, B, E, F"
957,Node957,"A, B, E, D"
958,Node958,"A, B, E, D"
959,Node959,
960,Node960,"A, D"
961,Node961,"A, D"
962,Node962,"A, C, D, F"
963,Node963,"C, F"
964,Node964,"C, F"
965,Node965,
966,Node966,"A, D"
967,Node967,"B, E"
968,Node968,"C, F"
969,Node969,"B, E"
970,Node970,
971,Node971,"B, E"
972,Node972,"C, F"
973,Node973,
974,Node974,"C, B, E, F"
975,Node975,"A, C, D, F"
976,Node976,"A, C, D, F"
977,Node977,
978,Node978,
979,Node979,"A, D"
980,Node980,"A, D"
981,Node981,"A, D"
982,Node982,"B, E"
983,Node983,"A, C, D, F"
984,Node984,"B, E"
985,Node985,
986,Node986,"B, E"
987,Node987,
988,Node988,"C, F"
989,Node989,"B, E"
990,Node990,"C, F"
991,Node991,"A, B, E, D"
992,Node992,"A, D"
993,Node993,"C, F"
994,Node994,"B, E"
995,Node995,
996,Node996,
997,Node997,"A, D"
998,Node998,"A, D"
999,Node999,"A, C, D, F"
